Manufacturer,Model,Description,Gearbox,Imperial combined (float),Fuel type,CO2 (float),Tax band
AUDI,A6 Avant,3.0 V6 TDI quattro 218PS 7speed S tronic 17'' wheels,QD7,55.4,Diesel,134,E
AUDI,A6 Avant,3.0 V6 TDI quattro 218PS 7speed S tronic 18'' wheels,QD7,55.4,Diesel,134,E
AUDI,A6 Avant,2.0 TDI quattro 190PS S tronic Stop-Start 18'' wheels,QD7,55.4,Diesel,133,E
AUDI,A6 Avant,2.0 TDI quattro 190PS S tronic Stop-Start 19'' wheels,QD7,55.4,Diesel,134,E
AUDI,A6 Avant,2.0 TDI quattro 190PS S tronic Stop-Start 17'' wheels,QD7,55.4,Diesel,132,E
AUDI,A6 Saloon,3.0 V6 TDI quattro 218PS 7speed S tronic 20'' wheels,QD7,55.4,Diesel,134,E
AUDI,A6 Saloon,3.0 V6 TDI quattro 272PS 7speed S tronic 17'' wheels,QD7,55.4,Diesel,133,E
AUDI,A6 Saloon,3.0 V6 TDI quattro 272PS 7speed S tronic 19'' wheels,QD7,55.4,Diesel,135,E
AUDI,A6 Saloon,3.0 V6 TDI quattro 272PS 7speed S tronic 18'' wheels,QD7,55.4,Diesel,133,E
AUDI,A7 Sportback,3.0 V6 TDI quattro 218PS 7speed S tronic with 19'' wheels,QD7,55.4,Diesel,134,E
AUDI,New A3 Cabriolet,2.0 TDI quattro 150PS 19'' wheels,QM6,55.4,Diesel,132,E
AUDI,New A3 Cabriolet,1.4 TFSI 150PS 7speed S-tronic 18'' wheels,D7,55.4,Petrol,118,C
AUDI,New A3 Cabriolet,2.0 TDI quattro 184PS S-tronic 18'' wheels,QD6,55.4,Diesel,134,E
AUDI,New A4 Allroad,3.0 V6 TDI quattro 218PS 7speed S-tronic with 17'' wheels,QD7,55.4,Diesel,137,E
AUDI,New A4 Allroad,2.0 TDI quattro 190PS 7speed S-tronic with 19'' wheels,QD7,55.4,Diesel,134,E
AUDI,New A4 Saloon,2.0 TFSI 190PS 7speed S tronic 17'' wheels,D7,55.4,Petrol,116,C
AUDI,New A4 Saloon,3.0 V6 TDI quattro 272PS 8speed Tiptronic 18'' wheels,QD8,55.4,Diesel,134,E
AUDI,New A5 Coupé,2.0 TFSI 190PS 7-speed S-tronic 17'' wheels,D7,55.4,Petrol,117,C
AUDI,New A6 Avant,2.0 TDI quattro 190PS 7speed S-tronic 18'' wheels,QD7,55.4,Diesel,133,E
AUDI,New A6 Avant,2.0 TDI quattro 190PS 7speed S-tronic 19'' wheels,QD7,55.4,Diesel,134,E
AUDI,New A6 Avant,2.0 TDI quattro 190PS 7speed S-tronic 17'' wheels,QD7,55.4,Diesel,132,E
AUDI,New A6 Saloon,3.0 TDI quattro V6 272PS 7speed S-tronic 17 & 18'' wheel,QD7,55.4,Diesel,133,E
AUDI,New A6 Saloon,3.0 TDI quattro V6 272PS 7speed S-tronic 19'' wheels,QD7,55.4,Diesel,135,E
AUDI,New A6 Saloon,3.0 TDI quattro V6 218PS 7speed S-tronic 19'' wheels,QD7,55.4,Diesel,135,E
AUDI,Q3,2.0 TDI quattro 150PS 7speed S tronic with 18'' wheels,QD7,55.4,Diesel,133,E
BMW,"1 Series 3-door F21, From September 2012",118i 17'' tyres,A8,55.4,Petrol,119,C
BMW,"1 Series 5-door F20, From September 2011",118i 17'' tyres,A8,55.4,Petrol,119,C
BMW,"2 Series Active Tourer F45, From September 2014",218i Active Tourer - 16'' & 17'' tyres,A6,55.4,Petrol,119,C
BMW,"2 Series Active Tourer F45, From March 2016",218i Active Tourer - 16'' & 17'' tyres,M6,55.4,Petrol,119,C
BMW,"2 Series Gran Tourer F46, From June 2015",220d xDrive Gran Tourer - 18'' tyres,A8,55.4,Diesel,134,E
BMW,"3 Series Gran Turismo F34, From June 2013",325d Gran Turismo - 18'' tyres,A8,55.4,Diesel,133,E
BMW,"3 Series Gran Turismo F34, From June 2013",325d Gran Turismo - 19'' tyres,A8,55.4,Diesel,135,E
BMW,"3 Series Touring F31, from September 2012",330d Touring - 17'' tyres,A8,55.4,Diesel,135,E
BMW,"4 Series Convertible F33, From March 2014",420d Convertible - 18'' & 19'' tyres,M6,55.4,Diesel,134,E
BMW,"4 Series Coupé F32, From October 2013",430d Coupé - 18'' & 19'' tyres,A8,55.4,Diesel,134,E
BMW,"5 Series F10/F11, From March 2010",525d Saloon - 18'' tyres all-around,M6,55.4,Diesel,134,E
BMW,"5 Series F10/F11, From March 2010",530d Saloon - 17'' tyres,A8,55.4,Diesel,134,E
BMW,"5 Series F10/F11, From March 2010",525d Touring - 18'' tyres,A8,55.4,Diesel,134,E
BMW,"7 Series G11,, From October 2015",740d xDrive Saloon - 18'' tyres,A8,55.4,Diesel,134,E
BMW,"X1 Series F48 , From October 2015",X1 xDrive20d - 19'' tyres,A8,55.4,Diesel,133,E
BMW,"X1 Series F48, From March 2016",X1 xDrive20d - 19'' tyres,A8,55.4,Diesel,134,E
BMW,"X1 Series F48, From March 2016",X1 xDrive25d - 17'' & 18'' tyres,A8,55.4,Diesel,133,E
BMW,"X3 Series F25, From November 2010",X3 xDrive20d - 8J x 17'' wheels,M6,55.4,Diesel,135,E
BMW,"X4 Series F26, From July 2014",X4 xDrive20d - 8J x 17'' wheels,M6,55.4,Diesel,135,E
CHRYSLER JEEP,"Jeep Renegade, MY2015",2.0 140bhp 4x4,M6,55.4,Diesel,134,E
CHRYSLER JEEP,"Jeep Renegade, MY2015",2.0 120bhp 4x4,M6,55.4,Diesel,134,E
CHRYSLER JEEP,"Jeep Renegade, MY2016",2.0 140bhp 4x4,M6,55.4,Diesel,134,E
CHRYSLER JEEP,"Jeep Renegade, MY2016",2.0 120bhp 4x4,M6,55.4,Diesel,134,E
CHRYSLER JEEP,"Jeep Renegade, MY2017",2.0 140bhp 4x4,M6,55.4,Diesel,134,E
CITROEN,Berlingo Multispace,Pure Tech 110 S&S,M5,55.4,Petrol,119,C
CITROEN,C4,"PureTech 130 S&S EAT6 (17"" & 18""' wheels)",A6,55.4,Petrol,117,C
CITROEN,C4 Picasso,PureTech 130 S&S EAT6,A6,55.4,Petrol,115,C
CITROEN,C4 Picasso,PureTech 110 S&S,M6,55.4,Petrol,115,C
CITROEN,Grand C4 Picasso,PureTech 130 S&S EAT6,A6,55.4,Petrol,115,C
CITROEN,SpaceTourer,XS BlueHDi 115 S&S BVM6 Feel,M6,55.4,Diesel,133,E
DACIA,"Sandero Stepway Euro6, 2015",TEC 90,M5,55.4,Petrol,115,C
FIAT,"Panda, From February 2012 onwards",1.2 8v 69 bhp,M5,55.4,Petrol,119,C
FORD,"All New C-Max, Model Year Post 2016¼",1.0 EcoBoost (125PS) Stop-Start,M6,55.4,Petrol,117,C
FORD,"All New C-Max, Model Year Post 2016¼",1.0 EcoBoost (100PS) Stop-Start,M6,55.4,Petrol,117,C
FORD,"All New C-Max, Model Year Pre 2016¼",1.0 EcoBoost (100PS) Stop-Start,M6,55.4,Petrol,117,C
FORD,"All New C-Max, Model Year Pre 2016¼",1.0 EcoBoost (125PS) Stop-Start,M6,55.4,Petrol,117,C
FORD,"B-MAX, Model Year Post 2015¾",1.0 EcoBoost (100PS),M5,55.4,Petrol,119,C
HONDA,"CR-V, Model Year 2015","1.6 i-DTEC 4WD EX, SR",M6,55.4,Diesel,133,E
HONDA,"CR-V, Model Year 2015","1.6 i-DTEC SE Plus, SE Plus Navi",A5,55.4,Diesel,134,E
HONDA,"Jazz, Model Year 2016","1.3 i-VTEC EX, EX Navi",M5,55.4,Petrol,120,C
HYUNDAI,i20,1.2l 62kW,5MT,55.4,Petrol,119,C
KIA,Sportage,'3 Sat Nav' 1.7 CRDi 114bhp ISG,M6,55.4,Diesel,135,E
KIA,Sportage,'Axis Edition' 1.7 CRDi 114bhp ISG,M6,55.4,Diesel,135,E
LAND ROVER,Range Rover Evoque 16MY,2.0L TD4 (150PS & 180PS) 5-door Auto AWD,A9-AWD,55.4,Diesel,134,E
MAZDA,Mazda3 4 door,2.0 SKYACTIV-G (120PS),M6,55.4,Petrol,119,C
MAZDA,Mazda3 5 door,2.0 SKYACTIV-G (120PS),M6,55.4,Petrol,119,C
MAZDA,Mazda3 5 door,1.5 SKYACTIV-G (100PS),M6,55.4,Petrol,119,C
MERCEDES-BENZ,"A-Class, Model Year 2016","A180 with 16"" rear wheels",A7,55.4,Petrol,119,C
MERCEDES-BENZ,"A-Class, Model Year 2016","A200 with 16"" rear wheels",A7,55.4,Petrol,119,C
MERCEDES-BENZ,"C-Class Estate, Model Year 2017",C 220 d 4MATIC with 19'' rear wheels,A9,55.4,Diesel,134,E
MERCEDES-BENZ,"C-Class Estate, Model Year 2017",C 250 d 4MATIC with 19'' rear wheels,A9,55.4,Diesel,134,E
MERCEDES-BENZ,"E-Class Estate, Model Year 2016",E 220 d with 18'' rear wheels & towbar,A7,55.4,Diesel,133,E
MERCEDES-BENZ,"E-Class Saloon, Model Year 2016",E 220 BLUETEC with 18'' & 19'' rear wheels,A7,55.4,Diesel,121,D
MINI,"Clubman F54, From October 2015",MINI Cooper - 16'' tyres,M6,55.4,Petrol,118,C
MINI,"Clubman F54, From October 2015",MINI Cooper - 16'' tyres,A6,55.4,Petrol,118,C
MINI,"Clubman F54, From October 2015",MINI Cooper - 17'' tyres,M6,55.4,Petrol,121,D
MINI,"Convertible F57, From March 2016",MINI Cooper - 15'' & 16'' tyres,A6,55.4,Petrol,119,C
MINI,"Convertible F57, From March 2016",MINI Cooper - 17'' & 18'' tyres,M6,55.4,Petrol,118,C
NISSAN,"Micra Euro6 , 2015",1.2 DIG-S CVT,CVT,55.4,Petrol,119,C
NISSAN,"Note Euro6, 2015",1.2 DIGT-S,M5,55.4,Petrol,99,A
NISSAN,"Note Euro6, 2015",1.2 DIGT-S CVT,CVT,55.4,Petrol,119,C
NISSAN,"NV200 EURO6, 2015",NV200 90ps 5 seat,M5,55.4,Diesel,133,E
NISSAN,"NV200 EURO6, 2015",NV200 90ps 7seat,M6,55.4,Diesel,133,E
NISSAN,"Pulsar Euro6, 2015",DIGT 115 Xtronic,CVT,55.4,Petrol,127,D
NISSAN,"Qashqai Euro6, 2015",dCi 130 4WD 18/19 inch wheel,M6x2,55.4,Diesel,133,E
NISSAN,"XTrail Euro6, 2015",dCi 130 2WD 19'' wheel,M6,55.4,Diesel,133,E
NISSAN,"XTrail Euro6, 2015",dCi 130 Xtronic 17'' wheel,M6,55.4,Diesel,135,E
PEUGEOT,Partner Tepee,1.2L PureTech 110 S&S,M5,55.4,Petrol,119,C
PEUGEOT,Traveller,Compact BlueHDi 115 S&S Active,M6,55.4,Diesel,133,E
RENAULT,"Captur Euro6, 2015",Energy TCE 90 Stop Start,M5,55.4,Petrol,114,C
SEAT,Alhambra,"2.0 CR TDI 150PS Ecomotive SE, Connect, SE Lux, FR Line",M6,55.4,Diesel,132,E
SEAT,Ateca,2.0 TDI 150PS Stop-Start 4DRIVE Xcellence,M6,55.4,Diesel,129,D
SKODA,New Superb Estate,1.4 TSI 150PS DSG Stop-Start 17'' wheels,D6,55.4,Petrol,119,C
SKODA,New Superb Estate,1.4 TSI 150PS DSG Stop-Start super ROWI tyres,D6,55.4,Petrol,117,C
SKODA,New Superb Estate,1.4 TSI 150PS Stop-Start 17'' wheels,M6,55.4,Petrol,119,C
HYUNDAI,i30,1.4l Blue Drive,M6,47.1,Petrol,138,E
HYUNDAI,Santa Fe,2.2l CRDi 4WD 18'' or 19'' wheels,M6,47.1,Diesel,159,G
INFINITI,"Q30 Euro6, 2016",Q30 1.6T 18 inch wheel,M6,47.1,Petrol,138,E
INFINITI,"Q30 Euro6, 2016",Q30 1.6T 19 inch wheel,M6,47.1,Petrol,140,E
JAGUAR,"F-PACE, 17MY",3.0L TDV6 (300PS) Automatic AWD,A8-AWD,47.1,Diesel,159,G
KIA,cee'd,'SR7' 1.4 98bhp,M6,47.1,Petrol,138,E
KIA,cee'd,'1' 1.4 98bhp ,M6,47.1,Petrol,138,E
KIA,cee'd SW,'SR7' 1.4 98bhp,M6,47.1,Petrol,138,E
KIA,pro_cee'd,'SR7' 1.4 98bhp,M6,47.1,Petrol,138,E
KIA,Sorento,'KX-3' 2.2 CRDi 197bhp ISG 7-seat,M6,47.1,Diesel,159,G
KIA,Sorento,'KX-2' 2.2 CRDi 197bhp ISG 7-seat,M6,47.1,Diesel,159,G
MAZDA,MX-5,1.5 SKYACTIV-G (131PS),M6,47.1,Petrol,139,E
MERCEDES-BENZ,"C-Class Cabriolet, Model Year 2017",C 200 with 17'' rear wheels,M6,47.1,Petrol,136,E
MERCEDES-BENZ,"E-Class Saloon, Model Year 2016",E 250 with 18'' & 19'' rear wheels,A7,47.1,Petrol,138,E
MERCEDES-BENZ,"GLA Class, Model Year 2017",GLA 200 with 19'' rear wheels,M6,47.1,Petrol,138,E
MERCEDES-BENZ,"GLC Coupé, Model Year 2017",GLC 350 d 4MATIC with 18'' rear wheels,A9,47.1,Diesel,161,G
MERCEDES-BENZ,"S-Class Limousine, Model Year 2016",S 350 d with 19'' wheels,A7,47.1,Diesel,157,G
MERCEDES-BENZ,"S-Class Limousine, Model Year 2016½",S 350 d with 20'' rear wheels,A9,47.1,Diesel,157,G
MERCEDES-BENZ,"S-Class Limousine, Model Year 2017",S 350 d with 20'' rear wheels,A9,47.1,Diesel,157,G
MERCEDES-BENZ,"SLC, Model Year 2017",SLC 300 with 18'' rear wheels,A9,47.1,Petrol,138,E
MERCEDES-BENZ,"SLK-Class, Model Year 2016",SLK 300 with 18'' rear wheels,A9,47.1,Petrol,138,E
MINI,"5-door Hatchback F55, From October 2014",MINI Cooper S - 17'' & 18'' tyres,M6,47.1,Petrol,139,E
MINI,"Convertible F57, From March 2016",MINI Cooper S - 16'' tyres,M6,47.1,Petrol,139,E
MINI,"Countryman R60, From September 2010",MINI Cooper S - 17'' tyres,M6,47.1,Petrol,139,E
MINI,"Countryman R60, From September 2010",MINI One - 18'' tyres,M6,47.1,Petrol,139,E
MINI,"Paceman R61, From November 2012",MINI Cooper S - 17'' tyres,M6,47.1,Petrol,139,E
NISSAN,"Juke Euro6, 2015",1.6 96ps,M5,47.1,Petrol,138,E
NISSAN,"Juke Euro6, 2015",DIG-T 190,M6,47.1,Petrol,139,E
NISSAN,"Juke Euro6, 2015",1.6 117ps 17 inch wheel,CVT,47.1,Petrol,139,E
NISSAN,"Qashqai Euro6, 2015",DIG-T 163 18/19 inch wheel,M6,47.1,Petrol,138,E
PEUGEOT,308,GTi 1.6 THP 250 S&S,M6,47.1,Petrol,139,E
PEUGEOT,308,GTi 1.6 THP 270 S&S,M6,47.1,Petrol,139,E
PEUGEOT,Traveller,Standard BlueHDi 180 S&S EAT6 Business VIP,A6,47.1,Diesel,159,G
RENAULT,Megane 2016,TCe 205 EDC,A7,47.1,Petrol,134,E
RENAULT,"Trafic Euro6, 2016",Energy dCi 95,M6,47.1,Diesel,155,G
RENAULT,"Trafic Euro6, 2016",Energy dCi 145,M6,47.1,Diesel,152,G
SEAT,Leon 5 Door,1.8 TSI 180PS Stop-Start FR,M6,47.1,Petrol,138,E
SEAT,Leon SC,1.8 TSI 180PS Stop-Start FR,M6,47.1,Petrol,138,E
SEAT,Leon ST,1.8 TSI 180PS Stop-Start FR,M6,47.1,Petrol,138,E
TOYOTA,"Avensis , MY2015",4 door Active 1.8l,6MT,47.1,Petrol,139,E
TOYOTA,"Avensis , MY2015",Touring Sport Active 1.8l CVT,CVT,47.1,Petrol,139,E
TOYOTA,"Avensis , MY2015",4 door Business Edition Plus 1.8l,6MT,47.1,Petrol,140,E
TOYOTA,"Avensis , MY2015",Touring Sport Business Edition 1.8l CVT,CVT,47.1,Petrol,142,F
TOYOTA,"Avensis , MY2015",4 door Business Edition 1.8l,6MT,47.1,Petrol,140,E
TOYOTA,"Avensis , MY2015",Touring Sport Business Edition Plus 1.8 CVT,CVT,47.1,Petrol,142,F
VAUXHALL,"Astra GTC, Model Year 2015","1.4i 140PS SRi 16v Turbo Stop/Start with 17'', 18'', 19'' and 20'' wheels",M6,47.1,Petrol,142,F
VAUXHALL,"Astra GTC, Model Year 2015","1.4i 140PS Limited Edition 16v Turbo Sop/Start with 17'', 18'', 19'' and 20'' wheels",M6,47.1,Petrol,142,F
VAUXHALL,"Astra GTC, Model Year 2016","1.4i 120PS Limited Edition 16v Turbo Stop/Start with 17'', 18'', 19'' and 20'' wheels",M6,47.1,Petrol,142,F
VAUXHALL,"Corsa 3 Door Hatchback, Model Year 2015","1.4i 90PS Design with 14'', 15'' and 16'' wheels",A6,47.1,Petrol,140,E
VAUXHALL,"Corsa 5 Door Hatchback, Model Year 2015","1.4i 90PS Design with 14'', 15'' and 16'' wheels",A6,47.1,Petrol,140,E
VAUXHALL,"Meriva, Model Year 2015","1.4i 100PS 16v SE with 15'', 16'' and 17'' wheels",M5,47.1,Petrol,140,E
VAUXHALL,"Meriva, Model Year 2015","1.4i 100PS Tech Line 16v with 15'', 16'' and 17'' wheels",M5,47.1,Petrol,140,E
VAUXHALL,"Meriva, Model Year 2016","1.4i 100PS Life 16v with 15'', 16'' and 17'' wheels",M5,47.1,Petrol,140,E
VAUXHALL,"Mokka X, Model Year 2017","1.4i 140PS Active Turbo Stop-Start with 16'', 17'', 18'' and 19'' wheels",M6,47.1,Petrol,140,E
VOLKSWAGEN,Golf,GTI 2.0 TFSI 220PS Stop-Start 3 / 5 door ,M6,47.1,Petrol,139,E
VOLKSWAGEN,Golf,GTI 2.0 TFSI 230PS 3 / 5 door Stop-Start,M6,47.1,Petrol,139,E
VOLKSWAGEN,Polo,1.8 TSI 192PS GTi,M6,47.1,Petrol,139,E
VOLKSWAGEN C.V.,Caddy Maxi Life,1.4 TSI 125PS BMT,M6,47.1,Petrol,138,E
VOLKSWAGEN C.V.,Caravelle Executive Short Wheelbase,2.0 TDI 150PS 7speed DSG BMT,D7,47.1,Diesel,155,G
VOLKSWAGEN C.V.,Caravelle Generation Six,2.0 TDI 150PS 7speed DSG BMT,D7,47.1,Diesel,155,G
VOLKSWAGEN C.V.,Caravelle SE Short Wheelbase,2.0 TDI 150PS 7speed DSG BMT,D7,47.1,Diesel,155,G
VOLKSWAGEN C.V.,Transporter Shuttle S Long Wheelbase,2.0 TDI 102PS BMT,M5,47.1,Diesel,155,G
VOLKSWAGEN C.V.,Transporter Shuttle S Short Wheelbase,2.0 TDI 84PS BMT,M5,47.1,Diesel,155,G
VOLKSWAGEN C.V.,Transporter Shuttle SE Long Wheelbase,2.0 TDI 102PS BMT,M5,47.1,Diesel,155,G
VOLKSWAGEN C.V.,Transporter Window Van T30 and T32 Long Wheelbase Low Roof,2.0 TDI 150PS BMT,M6,47.1,Diesel,157,G
VOLKSWAGEN C.V.,Transporter Window Van T30 and T32 Short Wheelbase Low Roof,2.0 TDI 150PS BMT,M6,47.1,Diesel,157,G
SSANGYONG,Tivoli,EX 1.6D 4WD 115PS A/T,6AT,47,Diesel,156,G
SSANGYONG,Tivoli,EX 1.6D 4WD 115PS A/T,6AT,47,Diesel,156,G
SSANGYONG,Tivoli,ELX 1.6D 4WD 115ps,6MT,47,Diesel,123,D
SSANGYONG,Tivoli,ELX 1.6D AUTO 4WD 115ps,6AT,47,Diesel,156,G
AUDI,A4 Avant,1.8 TFSI 170PS Stop-Start with 18'' wheels,M6,46.3,Petrol,141,F
AUDI,A4 Saloon,1.8 TFSI 170PS Stop-Start with 19'' wheels,M6,46.3,Petrol,142,F
AUDI,A5 Coupé,3.0 V6 TDI 245PS quattro 7speed S tronic 18'' wheels,QD7,46.3,Diesel,158,G
AUDI,A5 Coupé,1.8 TFSI 177PS Stop-Start 19'' wheels,M6,46.3,Petrol,142,F
AUDI,A5 Sportback,1.8 TFSI 177PS Stop-Start 18'' wheels,M6,46.3,Petrol,141,F
AUDI,A5 Sportback,3.0 V6 TDI quattro 245PS 7speed S tronic Stop-Start 18'' wheels,QD7,46.3,Diesel,159,G
AUDI,A6 Saloon,3.0 V6 BiTDI quattro 320PS 8speed Tiptronic 19'' wheels,QA8,46.3,Diesel,161,G
AUDI,New A3 Cabriolet,2.0 TFSI quattro 190PS 7speed S tronic 17'' wheels,QD7,46.3,Petrol,139,E
AUDI,New A3 Cabriolet,2.0 TFSI 190PS 7speed S tronic 19'' wheels,D7,46.3,Petrol,138,E
AUDI,New A4 Avant,2.0 TFSI quattro 252PS 7speed S-tronic 17'' wheels,QD7,46.3,Petrol,139,E
AUDI,New A4 Avant,2.0 TFSI 190PS 19'' wheels,M6,46.3,Petrol,139,E
AUDI,New A6 Saloon,3.0 BiTDI quattro V6 320PS 8-speed Tiptronic 19'' wheels,QA8,46.3,Diesel,161,G
AUDI,Q5,3.0 TDI V6 quattro 258PS 7speed S-tronic Stop-Start 19'' wheels,QD7,46.3,Diesel,161,G
AUDI,TT Coupé,2.0 TFSI 230PS,M6,46.3,Petrol,141,F
AUDI,TT Roadster,1.8 TFSI 180PS Stop-Start,M6,46.3,Petrol,142,F
BMW,"1 Series 3-door F21, From July 2016",120i - 18'' tyres,M6,46.3,Petrol,140,E
BMW,"1 Series 5-door F20, From July 2016",120i - 18'' tyres,M6,46.3,Petrol,140,E
BMW,"2 Series Active Tourer F45, From September 2014",220i Active Tourer - 18'' tyres,M6,46.3,Petrol,142,F
BMW,"2 Series Convertible F23, From July 2016",220i - 17'' tyres,A8,46.3,Petrol,138,E
BMW,"2 Series Convertible F23, From July 2016",220i - 18'' tyres,A8,46.3,Petrol,140,E
BMW,"2 Series Coupé F22, From July 2016",220i - 18'' tyres,M6,46.3,Petrol,140,E
BMW,"2 Series Gran Tourer F46, From June 2015",220i Gran Tourer - 18'' tyres,A8,46.3,Petrol,142,F
BMW,"3 Series Gran Turismo F34, From July 2016",320i - 19'' tyres,A8,46.3,Petrol,139,E
BMW,"3 Series Saloon F30, From February 2012",320i xDrive Saloon - 18'' & 19'' tyres,A8,46.3,Petrol,142,F
BMW,"3 Series Touring F31, from September 2012",320i Touring - 16'' & 17'' tyres,M6,46.3,Petrol,141,F
BMW,"3 Series Touring F31, from September 2012",330i Touring - 18'' & 19'' tyres,A8,46.3,Petrol,143,F
BMW,"4 Series Coupé F32, From October 2013",420i Coupé - 17'' tyres,M6,46.3,Petrol,144,F
